name,position
bellatrix black,14
petunia evansverres,145
harry potter,151
james potter,152
harry potter,174
petunia evansverres,206
petunia evansverres,225
petunia evansverres,263
harry potter,309
petunia evansverres,339
lily potter,374
lily potter,389
lily potter,455
vernon dursley,512
dudley dursley,542
dudley dursley,555
petunia evansverres,596
petunia evansverres,599
petunia evansverres,717
petunia evansverres,722
petunia evansverres,745
harry potter,788
harry potter,801
petunia evansverres,815
lily potter,829
petunia evansverres,839
harry potter,873
harry potter,956
harry potter,1003
harry potter,1032
harry potter,1130
harry potter,1138
harry potter,1253
harry potter,1296
harry potter,1348
harry potter,1377
harry potter,1396
harry potter,1522
harry potter,1549
harry potter,1569
harry potter,1635
harry potter,1650
harry potter,1672
harry potter,1723
minerva mcgonagall,1749
harry potter,1769
james potter,1779
lily potter,1782
lily potter,1785
petunia evansverres,1795
petunia evansverres,1819
lily potter,1867
lily potter,1870
lily potter,1887
harry potter,1907
james potter,1908
harry potter,1910
harry potter,2050
harry potter,2122
harry potter,2138
harry potter,2180
harry potter,2222
harry potter,2300
harry potter,2365
harry potter,2378
harry potter,2396
harry potter,2406
harry potter,2462
harry potter,2464
harry potter,2486
harry potter,2559
harry potter,2644
harry potter,2715
minerva mcgonagall,2758
harry potter,2762
bellatrix black,2773
harry potter,2829
harry potter,2841
harry potter,2863
harry potter,2869
minerva mcgonagall,2888
harry potter,2905
harry potter,2934
harry potter,2957
harry potter,3060
harry potter,3065
harry potter,3073
minerva mcgonagall,3102
harry potter,3107
harry potter,3174
harry potter,3194
minerva mcgonagall,3215
minerva mcgonagall,3316
harry potter,3492
minerva mcgonagall,3494
harry potter,3526
minerva mcgonagall,3572
harry potter,3584
minerva mcgonagall,3604
harry potter,3617
harry potter,3712
minerva mcgonagall,3717
harry potter,3776
harry potter,3924
minerva mcgonagall,3928
petunia evansverres,3941
minerva mcgonagall,3963
harry potter,3988
harry potter,3989
minerva mcgonagall,4018
harry potter,4074
minerva mcgonagall,4077
harry potter,4090
harry potter,4185
harry potter,4193
harry potter,4257
harry potter,4262
minerva mcgonagall,4282
neville longbottom,4294
harry potter,4309
minerva mcgonagall,4323
harry potter,4360
harry potter,4399
harry potter,4407
minerva mcgonagall,4419
minerva mcgonagall,4425
harry potter,4445
minerva mcgonagall,4465
harry potter,4483
minerva mcgonagall,4527
harry potter,4565
harry potter,4599
minerva mcgonagall,4610
harry potter,4618
harry potter,4633
minerva mcgonagall,4669
lily potter,4686
james potter,4688
harry potter,4693
minerva mcgonagall,4743
minerva mcgonagall,4768
harry potter,4840
harry potter,4946
harry potter,4976
minerva mcgonagall,5015
harry potter,5023
harry potter,5026
harry potter,5050
harry potter,5107
harry potter,5209
harry potter,5223
minerva mcgonagall,5250
minerva mcgonagall,5290
voldemort,5323
voldemort,5324
harry potter,5325
harry potter,5361
harry potter,5445
james potter,5652
lily potter,5654
harry potter,5694
harry potter,5735
harry potter,5764
minerva mcgonagall,5777
james potter,5795
lily potter,5799
harry potter,5899
harry potter,5928
harry potter,6014
minerva mcgonagall,6083
harry potter,6208
minerva mcgonagall,6241
harry potter,6286
harry potter,6311
minerva mcgonagall,6369
harry potter,6387
harry potter,6407
minerva mcgonagall,6409
harry potter,6464
harry potter,6520
harry potter,6651
harry potter,6674
harry potter,6769
harry potter,6796
harry potter,6804
minerva mcgonagall,6828
harry potter,6845
